codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;gastos;total;notas
02.03.01;CONJUNTIVOPLASTIA (INJERTO LIBRE DE CONJUNTIVA O MEMBRA;02;OPERACIONES EN LA CONJUNTIVA;101.25;30;80.25;1;121;13172.2;01,01,01,02
02.03.02;ESCISION DE LESION CONJUNTIVA (QUISTE EPITELIOMA, NEVUS;02;OPERACIONES EN LA CONJUNTIVA;61.5;;;;118;9406.46;01,01,01,02
02.03.03;INTRODUCCION DE SUBSTANCIAS TERAPEUTICAS SUBCONJUNTIVAL;02;OPERACIONES EN LA CONJUNTIVA;39.75;;;;89;6751.51;01,01,01,02
02.03.04;PERITECTOMIA, PERITOMIA; ESCISION DE ANILLO DE CONJUNTI;02;OPERACIONES EN LA CONJUNTIVA;61.5;;;;89;7876.42;01,01,01,02
02.03.05;SUTURA DE CONJUNTIVA (INCLUIDA EXTRACCION DE CUERPO EXT;02;OPERACIONES EN LA CONJUNTIVA;21.75;;;;89;5820.55;01,01,01,02
02.03.06;INTRODUCCION DE SUBSTANCIAS TERAPEUTICAS INYECTABLES SU;02;OPERACIONES EN LA CONJUNTIVA;;;;;7;369.32;01,01,01,02
02.04.01;QUERATOPLASTIA LAMINAR; INJERTO DE CORNEA.;02;OPERACIONES EN LA CORNEA;372.75;74.25;132.75;1;271;37416.8;01,01,01,02
02.04.02;QUERATOPROTESIS TOTAL, QUERATOPLASTIA TOTAL.;02;OPERACIONES EN LA CORNEA;425.25;84.75;186;1;271;40675.2;01,01,01,02
02.04.03;SUTURA DE CORNEA.;02;OPERACIONES EN LA CORNEA;80.25;30;80.25;1;175;14935.1;01,01,01,02
02.04.04;QUERATOCENTESIS (COMO UNICA INTERVENCION).;02;OPERACIONES EN LA CORNEA;39.75;;;;45;4430.07;01,01,01,02
02.04.05;CAUTERIZACION CORNEAL CON O SIN RASPADO PREVIO.;02;OPERACIONES EN LA CORNEA;;;;;5;263.8;01,01,01,02
02.04.06;SUTURA DE HERIDA DE CORNEA CON PROLAPSO DE IRIS Y/O HER;02;OPERACIONES EN LA CORNEA;119.25;30;80.25;1;124;14261.5;01,01,01,02
02.05.01;TRATAMIENTO QUIRURGICO DEL GLAUCOMA.;02;OPERACIONES EN EL IRIS Y CUERPO CILIAR;303;61.5;87;1;268;32991.6;01,01,01,02
02.05.02;IRIDATOMIA. COREOPLASTIA. IRIDECTOMIA.;02;OPERACIONES EN EL IRIS Y CUERPO CILIAR;201.75;39.75;80.25;1;222;24203.1;01,01,01,02
02.05.03;IRIDOCICLECTOMIA O CICLECTOMIA POR TUMORES.;02;OPERACIONES EN EL IRIS Y CUERPO CILIAR;228;45;87;1;352;32691.1;01,01,01,02
02.05.05;Escisión lesión palpebral (biopsia,absceso,orzuelo);02;OPERACIONES EN EL IRIS Y CUERPO CILIAR;;1;;1;;51.72;01
02.05.06;Módulo de Trabeculectomía-cirugia de glaucoma;02;OPERACIONES EN EL IRIS Y CUERPO CILIAR;;1;;1;;51.72;01
02.06.01;FOTOCOAGULACION CONVENCIONAL (CADA DOS SESIONES O FRACC;02;OPERACIONES EN LA ESCLEROTICA Y EN LA RETINA;159.75;;80.25;;318;25040;01,01,01,02
